Date,Open,High,Low,Close,Adj Close,Volume
2015-10-15,2264.830078,2282.550049,2255.389893,2277.360107,2277.360107,0
2015-10-16,2275.659912,2283.419922,2264.030029,2283.209961,2283.209961,0
2015-10-19,2279.229980,2291.949951,2274.610107,2287.659912,2287.659912,0
2015-10-20,2286.149902,2288.379883,2269.929932,2278.919922,2278.919922,0
2015-10-21,2301.669922,2306.199951,2268.040039,2269.330078,2269.330078,0
2015-10-22,2299.919922,2337.979980,2299.919922,2335.419922,2335.419922,0
2015-10-23,2361.860107,2376.800049,2350.649902,2370.439941,2370.439941,0
2015-10-26,2370.689941,2370.790039,2346.260010,2353.610107,2353.610107,0
2015-10-27,2349.429932,2362.260010,2349.429932,2355.510010,2355.510010,0
2015-10-28,2354.020020,2374.550049,2343.909912,2374.550049,2374.550049,0
2015-10-29,2341.909912,2345.340088,2329.699951,2332.840088,2332.840088,0
2015-10-30,2338.139893,2353.989990,2338.139893,2346.659912,2346.659912,0
2015-11-02,2349.560059,2368.250000,2347.929932,2366.449951,2366.449951,0
2015-11-03,2360.409912,2383.629883,2359.590088,2374.489990,2374.489990,0
2015-11-04,2373.350098,2375.280029,2359.250000,2371.520020,2371.520020,0
2015-11-05,2378.669922,2382.580078,2352.290039,2361.530029,2361.530029,0
2015-11-06,2368.449951,2389.699951,2362.620117,2389.699951,2389.699951,0
2015-11-09,2378.010010,2378.260010,2351.169922,2362.500000,2362.500000,0
2015-11-10,2343.739990,2348.070068,2331.459961,2342.379883,2342.379883,0
2015-11-11,2351.090088,2355.669922,2333.669922,2336.469971,2336.469971,0
2015-11-12,2324.500000,2340.800049,2309.649902,2310.090088,2310.090088,0
2015-11-13,2302.100098,2306.899902,2269.209961,2270.370117,2270.370117,0
2015-11-16,2271.939941,2301.780029,2270.530029,2301.110107,2301.110107,0
2015-11-17,2302.689941,2323.739990,2296.439941,2305.080078,2305.080078,0
2015-11-18,2306.010010,2332.250000,2299.840088,2330.699951,2330.699951,0
2015-11-19,2333.560059,2347.280029,2328.270020,2335.840088,2335.840088,0
2015-11-20,2348.199951,2351.179932,2339.570068,2345.330078,2345.330078,0
2015-11-23,2344.389893,2349.520020,2327.270020,2332.760010,2332.760010,0
2015-11-24,2324.870117,2351.260010,2317.189941,2346.760010,2346.760010,0
2015-11-25,2346.320068,2355.290039,2339.540039,2344.419922,2344.419922,0
2015-11-27,2344.889893,2357.760010,2344.879883,2353.620117,2353.620117,0
2015-11-30,2358.830078,2374.689941,2355.979980,2373.340088,2373.340088,0
2015-12-01,2378.429932,2401.510010,2378.159912,2401.469971,2401.469971,0
2015-12-02,2403.320068,2412.169922,2379.969971,2383.610107,2383.610107,0
2015-12-03,2400.389893,2402.679932,2343.899902,2355.120117,2355.120117,0
